jnstrans|date|txn|idr|bln|mth
VISA - INTERNATIONAL|02/08/2019|1389|1626200000|FEB2019|2019-02
PLUS - LOCAL|02/08/2019|221|238150000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/08/2019|2568|3124850000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/08/2019|2456|3172550000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/08/2019|583|643550000|FEB2019|2019-02
VISA - LOCAL|02/09/2019|42|37550000|FEB2019|2019-02
VISA - INTERNATIONAL|02/09/2019|1398|1522700000|FEB2019|2019-02
PLUS - LOCAL|02/09/2019|198|178900000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/09/2019|2456|2786000000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/09/2019|2366|2829800000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/09/2019|563|593300000|FEB2019|2019-02
VISA - LOCAL|02/10/2019|36|28400000|FEB2019|2019-02
VISA - INTERNATIONAL|02/10/2019|1354|1525900000|FEB2019|2019-02
PLUS - LOCAL|02/10/2019|197|163550000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/10/2019|2108|2220300000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/10/2019|2182|2548250000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/10/2019|540|510450000|FEB2019|2019-02
VISA - LOCAL|02/11/2019|39|40150000|FEB2019|2019-02
VISA - INTERNATIONAL|02/11/2019|1835|2522900000|FEB2019|2019-02
PLUS - LOCAL|02/11/2019|220|220500000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/11/2019|2371|2782250000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/11/2019|6952|8280700000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/11/2019|1660|1719200000|FEB2019|2019-02
VISA - LOCAL|02/12/2019|50|49350000|FEB2019|2019-02
VISA - INTERNATIONAL|02/12/2019|1703|2233900000|FEB2019|2019-02
PLUS - LOCAL|02/12/2019|194|197400000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/12/2019|2322|2619450000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/12/2019|2249|2889900000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/12/2019|545|509350000|FEB2019|2019-02
VISA - LOCAL|02/13/2019|44|42400000|FEB2019|2019-02
VISA - INTERNATIONAL|02/13/2019|1624|2047050000|FEB2019|2019-02
PLUS - LOCAL|02/13/2019|199|186600000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/13/2019|2331|2736650000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/13/2019|2458|3088200000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/13/2019|585|595950000|FEB2019|2019-02
VISA - LOCAL|02/14/2019|47|59450000|FEB2019|2019-02
VISA - INTERNATIONAL|02/14/2019|1388|1608250000|FEB2019|2019-02
